lead_id;subid;id;scenario_name;status;action;postback_status;date
7000055;022e4a0305cd7;310000137;ph_email_flow;success;email;delivrd;12-11-2024
7000055;022e4a0305cd7;310000138;ph_sms_flow;success;sms;delivrd;14-11-2024
7000053;0750c69eac0d3;310000131;ph_email_flow;success;email;delivrd;17-07-2024
7000053;0750c69eac0d3;310000132;ph_sms_flow;success;sms;delivrd;18-07-2024
7000053;0750c69eac0d3;310000133;ph_sms_flow;success;sms;delivrd;19-07-2024
7000072;091d2974679c3;310000179;vn_email_flow;success;email;delivrd;25-02-2025
7000072;091d2974679c3;310000180;vn_sms_flow;success;sms;delivrd;26-02-2025
7000033;0ba2e648a2748;310000081;es_email_flow;success;email;delivrd;17-07-2024
7000033;0ba2e648a2748;310000082;es_sms_flow;success;sms;delivrd;18-07-2024
7000033;0ba2e648a2748;310000083;es_sms_flow;success;sms;delivrd;19-07-2024
7000007;0bd651462ed16;310000017;mx_email_flow;success;email;delivrd;08-11-2024
7000007;0bd651462ed16;310000018;mx_sms_flow;success;sms;delivrd;10-11-2024
7000002;1591bdaba4902;310000004;mx_email_flow;success;email;delivrd;21-08-2024
7000002;1591bdaba4902;310000005;mx_sms_flow;success;sms;delivrd;22-08-2024
7000002;1591bdaba4902;310000006;mx_sms_flow;success;sms;delivrd;23-08-2024
7000016;18d6b640e1d79;310000039;co_email_flow;success;email;delivrd;17-02-2025
7000016;18d6b640e1d79;310000040;co_sms_flow;success;sms;delivrd;18-02-2025
7000035;1cff2f821ae08;310000087;es_email_flow;success;email;delivrd;12-11-2024
7000035;1cff2f821ae08;310000088;es_sms_flow;success;sms;delivrd;14-11-2024
7000041;225558e3afd64;310000101;ro_email_flow;success;email;delivrd;16-07-2024
7000041;225558e3afd64;310000102;ro_sms_flow;success;sms;delivrd;17-07-2024
7000041;225558e3afd64;310000103;ro_sms_flow;success;sms;delivrd;18-07-2024
7000043;270e6f7ea67ed;310000107;ro_email_flow;success;email;delivrd;11-11-2024
7000043;270e6f7ea67ed;310000108;ro_sms_flow;success;sms;delivrd;13-11-2024
7000068;271827251dde5;310000169;vn_email_flow;success;email;delivrd;23-02-2025
7000068;271827251dde5;310000170;vn_sms_flow;success;sms;delivrd;24-02-2025
7000034;2b0e92e1f4536;310000084;es_email_flow;success;email;delivrd;27-08-2024
7000034;2b0e92e1f4536;310000085;es_sms_flow;success;sms;delivrd;28-08-2024
7000034;2b0e92e1f4536;310000086;es_sms_flow;success;sms;delivrd;29-08-2024
7000064;35f74bc2d055c;310000159;vn_email_flow;success;email;delivrd;21-02-2025
7000064;35f74bc2d055c;310000160;vn_sms_flow;success;sms;delivrd;22-02-2025
7000004;3631d9dc54ed4;310000009;mx_email_flow;success;email;delivrd;16-02-2025
7000004;3631d9dc54ed4;310000010;mx_sms_flow;success;sms;delivrd;17-02-2025
7000037;3d81ff718ee4e;310000091;ro_email_flow;success;email;delivrd;14-07-2024
7000037;3d81ff718ee4e;310000092;ro_sms_flow;success;sms;delivrd;15-07-2024
7000037;3d81ff718ee4e;310000093;ro_sms_flow;success;sms;delivrd;16-07-2024
7000052;4137756a5a0d8;310000129;ph_email_flow;success;email;delivrd;20-02-2025
7000052;4137756a5a0d8;310000130;ph_sms_flow;success;sms;delivrd;21-02-2025
7000040;4b82c07c6d029;310000099;ro_email_flow;success;email;delivrd;19-02-2025
7000040;4b82c07c6d029;310000100;ro_sms_flow;success;sms;delivrd;20-02-2025
7000070;4e3294e806700;310000174;vn_email_flow;success;email;delivrd;30-08-2024
7000070;4e3294e806700;310000175;vn_sms_flow;success;sms;delivrd;31-08-2024
7000070;4e3294e806700;310000176;vn_sms_flow;success;sms;delivrd;01-09-2024
7000026;51994bd311f83;310000064;es_email_flow;success;email;delivrd;23-08-2024
7000026;51994bd311f83;310000065;es_sms_flow;success;sms;delivrd;24-08-2024
7000026;51994bd311f83;310000066;es_sms_flow;success;sms;delivrd;25-08-2024
7000023;5a94173dfd188;310000057;co_email_flow;success;email;delivrd;11-11-2024
7000023;5a94173dfd188;310000058;co_sms_flow;success;sms;delivrd;13-11-2024
7000025;63f6c8eebc233;310000061;es_email_flow;success;email;delivrd;13-07-2024
7000025;63f6c8eebc233;310000062;es_sms_flow;success;sms;delivrd;14-07-2024
7000025;63f6c8eebc233;310000063;es_sms_flow;success;sms;delivrd;15-07-2024
7000017;64867976a38fe;310000041;co_email_flow;success;email;delivrd;14-07-2024
7000017;64867976a38fe;310000042;co_sms_flow;success;sms;delivrd;15-07-2024
7000017;64867976a38fe;310000043;co_sms_flow;success;sms;delivrd;16-07-2024
7000063;6a11dc157fca2;310000157;vn_email_flow;success;email;delivrd;11-11-2024
7000063;6a11dc157fca2;310000158;vn_sms_flow;success;sms;delivrd;13-11-2024
7000013;6d13f0f94460a;310000031;co_email_flow;success;email;delivrd;12-07-2024
7000013;6d13f0f94460a;310000032;co_sms_flow;success;sms;delivrd;13-07-2024
7000013;6d13f0f94460a;310000033;co_sms_flow;success;sms;delivrd;14-07-2024
7000038;6f1a286bfa8b1;310000094;ro_email_flow;success;email;delivrd;24-08-2024
7000038;6f1a286bfa8b1;310000095;ro_sms_flow;success;sms;delivrd;25-08-2024
7000038;6f1a286bfa8b1;310000096;ro_sms_flow;success;sms;delivrd;26-08-2024
7000056;714795776a2be;310000139;ph_email_flow;success;email;delivrd;22-02-2025
7000056;714795776a2be;310000140;ph_sms_flow;success;sms;delivrd;23-02-2025
7000050;725c3cdc70c8c;310000124;ph_email_flow;success;email;delivrd;25-08-2024
7000050;725c3cdc70c8c;310000125;ph_sms_flow;success;sms;delivrd;26-08-2024
7000050;725c3cdc70c8c;310000126;ph_sms_flow;success;sms;delivrd;27-08-2024
7000031;7348b54548808;310000077;es_email_flow;success;email;delivrd;10-11-2024
7000031;7348b54548808;310000078;es_sms_flow;success;sms;delivrd;12-11-2024
7000067;7a565a9ad203e;310000167;vn_email_flow;success;email;delivrd;13-11-2024
7000067;7a565a9ad203e;310000168;vn_sms_flow;success;sms;delivrd;15-11-2024
7000071;82a6e50fbedb2;310000177;vn_email_flow;success;email;delivrd;15-11-2024
7000071;82a6e50fbedb2;310000178;vn_sms_flow;success;sms;delivrd;17-11-2024
7000003;8384277f06d6c;310000007;mx_email_flow;success;email;delivrd;06-11-2024
7000003;8384277f06d6c;310000008;mx_sms_flow;success;sms;delivrd;08-11-2024
7000045;8635326a5c664;310000111;ro_email_flow;success;email;delivrd;18-07-2024
7000045;8635326a5c664;310000112;ro_sms_flow;success;sms;delivrd;19-07-2024
7000045;8635326a5c664;310000113;ro_sms_flow;success;sms;delivrd;20-07-2024
7000039;8862e3eb63256;310000097;ro_email_flow;success;email;delivrd;09-11-2024
7000039;8862e3eb63256;310000098;ro_sms_flow;success;sms;delivrd;11-11-2024
7000036;908d2e3fb9ab5;310000089;es_email_flow;success;email;delivrd;22-02-2025
7000036;908d2e3fb9ab5;310000090;es_sms_flow;success;sms;delivrd;23-02-2025
7000049;91f9d84742153;310000121;ph_email_flow;success;email;delivrd;15-07-2024
7000049;91f9d84742153;310000122;ph_sms_flow;success;sms;delivrd;16-07-2024
7000049;91f9d84742153;310000123;ph_sms_flow;success;sms;delivrd;17-07-2024
7000042;9201591bb6018;310000104;ro_email_flow;success;email;delivrd;26-08-2024
7000042;9201591bb6018;310000105;ro_sms_flow;success;sms;delivrd;27-08-2024
7000042;9201591bb6018;310000106;ro_sms_flow;success;sms;delivrd;28-08-2024
7000029;95f1c90b23356;310000071;es_email_flow;success;email;delivrd;15-07-2024
7000029;95f1c90b23356;310000072;es_sms_flow;success;sms;delivrd;16-07-2024
